--- 評估結果總結 ---
「啟動」 -> 保留為 「啟動」
「內部」 -> 保留為 「內部」
「調查」 -> 保留為 「調查」
「被」 -> 保留為 「被」
「記錄」 -> 保留為 「記錄」
「於」 -> 保留為 「於」
「凌晨」 -> 保留為 「凌晨」
「執行」 -> 保留為 「執行」
「高風險」 -> 保留為 「高風險」
「腳本」 -> 保留為 「腳本」
「並」 -> 保留為 「並」
「嘗試」 -> 保留為 「嘗試」
「上」 -> 保留為 「上」
「傳至」 -> 保留為 「傳至」
「外部」 -> 保留為 「外部」
「雲端」 -> 保留為 「雲端」
「觸發」 -> 保留為 「觸發」
「偵測」 -> 保留為 「偵測」
「與」 -> 保留為 「與」
「兩」 -> 保留為 「兩」
「人」 -> 保留為 「人」
「帳號」 -> 保留為 「帳號」
「行為」 -> 保留為 「行為」
「出現」 -> 保留為 「出現」
「異常」 -> 保留為 「異常」
「登入」 -> 保留為 「登入」
「與」 -> 保留為 「與」
「資料」 -> 保留為 「資料」
「外傳」 -> 保留為 「外傳」
「跡象」 -> 保留為 「跡象」
「需」 -> 保留為 「需」
「啟動」 -> 保留為 「啟動」
「內部」 -> 保留為 「內部」
「調查」 -> 保留為 「調查」
「涉及」 -> 保留為 「涉及」
「同時」 -> 保留為 「同時」
「連線至」 -> 保留為 「連線至」
「敏感」 -> 保留為 「敏感」
「伺服器」 -> 保留為 「伺服器」
「疑似」 -> 保留為 「疑似」
「為」 -> 保留為 「為」
「協同」 -> 保留為 「協同」
「行為」 -> 保留為 「行為」
「已」 -> 保留為 「已」
「通報」 -> 保留為 「通報」
「資安」 -> 保留為 「資安」
「日誌」 -> 保留為 「日誌」
「顯示」 -> 保留為 「顯示」
「有」 -> 保留為 「有」
「執行」 -> 保留為 「執行」
「可疑」 -> 保留為 「可疑」
「程式」 -> 保留為 「程式」
「紀錄」 -> 保留為 「紀錄」
「行為」 -> 保留為 「行為」
「與」 -> 保留為 「與」
「內部」 -> 保留為 「內部」
「釣魚」 -> 保留為 「釣魚」
「測試」 -> 保留為 「測試」
「樣本」 -> 保留為 「樣本」
「相符」 -> 保留為 「相符」
「與」 -> 保留為 「與」
「兩」 -> 保留為 「兩」
「人」 -> 保留為 「人」
「帳號」 -> 保留為 「帳號」
「行為」 -> 保留為 「行為」
「出現」 -> 保留為 「出現」
「異常」 -> 保留為 「異常」
「登入」 -> 保留為 「登入」
「與」 -> 保留為 「與」
「資料」 -> 保留為 「資料」
「外傳」 -> 保留為 「外傳」
「跡象」 -> 保留為 「跡象」
「需」 -> 保留為 「需」
「啟動」 -> 保留為 「啟動」
「內部」 -> 保留為 「內部」
「調查」 -> 保留為 「調查」
「涉及」 -> 保留為 「涉及」
「同時」 -> 保留為 「同時」
「連線至」 -> 保留為 「連線至」
「敏感」 -> 保留為 「敏感」
「伺服器」 -> 保留為 「伺服器」
「疑似」 -> 保留為 「疑似」
「為」 -> 保留為 「為」
「協同」 -> 保留為 「協同」
「行為」 -> 保留為 「行為」
「已」 -> 保留為 「已」
「通報」 -> 保留為 「通報」
「涉及」 -> 保留為 「涉及」
「同時」 -> 保留為 「同時」
「連線至」 -> 保留為 「連線至」
「敏感」 -> 保留為 「敏感」
「伺服器」 -> 保留為 「伺服器」
「疑似」 -> 保留為 「疑似」
「為」 -> 保留為 「為」
「協同」 -> 保留為 「協同」
「行為」 -> 保留為 「行為」
「已」 -> 保留為 「已」
「通報」 -> 保留為 「通報」
「涉及」 -> 保留為 「涉及」
「同時」 -> 保留為 「同時」
「連線至」 -> 保留為 「連線至」
「敏感」 -> 保留為 「敏感」
「伺服器」 -> 保留為 「伺服器」
「疑似」 -> 保留為 「疑似」
「為」 -> 保留為 「為」
「協同」 -> 保留為 「協同」
「行為」 -> 保留為 「行為」
「已」 -> 保留為 「已」
「通報」 -> 保留為 「通報」
「涉及」 -> 保留為 「涉及」
「同時」 -> 保留為 「同時」
「連線至」 -> 保留為 「連線至」
「敏感」 -> 保留為 「敏感」
「伺服器」 -> 保留為 「伺服器」
「疑似」 -> 保留為 「疑似」
「為」 -> 保留為 「為」
「協同」 -> 保留為 「協同」
「行為」 -> 保留為 「行為」
「已」 -> 保留為 「已」
「通報」 -> 保留為 「通報」
「涉及」 -> 保留為 「涉及」
「同時」 -> 保留為 「同時」
「連線至」 -> 保留為 「連線至」
「敏感」 -> 保留為 「敏感」
「伺服器」 -> 保留為 「伺服器」
「疑似」 -> 保留為 「疑似」
「為」 -> 保留為 「為」
「協同」 -> 保留為 「協同」
「行為」 -> 保留為 「行為」
「已」 -> 保留為 「已」
「通報」 -> 保留為 「通報」
「在」 -> 保留為 「在」
「短」 -> 保留為 「短」
「時間」 -> 保留為 「時間」
「內」 -> 保留為 「內」
「連線」 -> 保留為 「連線」
「不同」 -> 保留為 「不同」
「主機」 -> 保留為 「主機」
「並」 -> 保留為 「並」
「上傳」 -> 保留為 「上傳」
「壓縮檔」 -> 保留為 「壓縮檔」
「風險」 -> 保留為 「風險」
「等級」 -> 保留為 「等級」
「列為」 -> 保留為 「列為」
「重大」 -> 保留為 「重大」
「涉及」 -> 保留為 「涉及」
「同時」 -> 保留為 「同時」
「連線至」 -> 保留為 「連線至」
「敏感」 -> 保留為 「敏感」
「伺服器」 -> 保留為 「伺服器」
「疑似」 -> 保留為 「疑似」
「為」 -> 保留為 「為」
「協同」 -> 保留為 「協同」
「行為」 -> 保留為 「行為」
「已」 -> 保留為 「已」
「通報」 -> 保留為 「通報」

==============================

